mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.15734394391377768,0.006925566334348469,0.06420381863911946,0.013311389046829,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5283726027397253,-0.4690000000000007,-0.43586027397260374,-0.47774429223744325,0.03827078719275183,26
0.29026031494140625,0.006250734625303336,0.06603717803955078,0.0022694870641426185,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5182561643835625,-0.4746890410958887,-0.43777534246575384,-0.4769068493150683,0.032893562481781574,24
0.5559399922688802,0.01513163056568927,0.10571877161661784,0.008458912638003569,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5192191780821914,-0.47687739726026834,-0.433349999999999,-0.4764821917808196,0.03505705898157135,22
0.1591163476308187,0.010967989513982139,0.05245161056518555,0.0019141412719707632,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5038712946490344,-0.4772352502520316,-0.4331087401259317,-0.4714050950089992,0.029181361783133224,12
0.285641352335612,0.01239190792384859,0.06586647033691406,0.010397979244514383,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.507275352744668,-0.4764278606097095,-0.4382394878029118,-0.47398090038576307,0.02823683614025341,18
0.5469470024108887,0.034547279815206965,0.10670630137125652,0.0158243716830646,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080087336103775,-0.4752823505223843,-0.43730444196024476,-0.4735318420310022,0.028891433844890853,16
0.15685296058654785,0.007598283638832952,0.060939629872639976,0.01320497178305026,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4920350577907191,-0.47704363512783693,-0.4359337587532387,-0.46833748389059826,0.023716193348953994,8
0.28800415992736816,0.04416165294797269,0.0689392884572347,0.011675339626547964,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214635,-0.47179262099279784,-0.4375018377604393,-0.4663435992217945,0.02166994318309075,2
0.6131200790405273,0.03814891381838225,0.09885565439860027,0.011030203293892949,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49149365121975663,-0.47203546231209376,-0.43703004650312416,-0.4668530533449915,0.022534626418161067,6
0.18127934137980142,0.022216742595827923,0.07988595962524414,0.008318631017998608,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.5282031572124017,-0.4710537782668648,-0.42856831758321895,-0.47594175102082853,0.040822334779022314,21
0.33910926183064777,0.014089675491165982,0.07325784365336101,0.014970487315282255,8,1,100,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5209910852649126,-0.47148254588482996,-0.43347918915674055,-0.47531760676882767,0.03582935257671518,20
0.6100240548451742,0.03895165170176121,0.14339733123779297,0.01077563170519619,8,1,200,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.5172597579246977,-0.46693569030867266,-0.42940389333437906,-0.47119978052258316,0.03599351871973968,11
0.15039515495300293,0.009113782731485113,0.06598432858784993,0.008822760108551974,8,3,50,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.5041209372022675,-0.47694895603788234,-0.4315892718179202,-0.47088638835269,0.029919633086652707,10
0.31183020273844403,0.02560940130115737,0.10035165150960286,0.0042076756161600936,8,3,100,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.5073221832505392,-0.4745862177997212,-0.43701958339975816,-0.4729759948166729,0.02872349212736401,15
0.6167232195536295,0.017760986335029972,0.07853007316589355,0.004056072563791804,8,3,200,"{'max_depth': 8, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.5080138876175528,-0.4729369332853381,-0.43384676775562786,-0.4715991962195063,0.03029337190977879,14
0.17441916465759277,0.008988423539200818,0.04051844278971354,0.0059747673861147805,8,5,50,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.492035057790719,-0.47626431103286976,-0.43561883690891323,-0.4679727352441674,0.023766365118811937,7
0.24755152066548666,0.010794218515446603,0.05700826644897461,0.005908028076223917,8,5,100,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.48973633891214685,-0.47151862691137075,-0.43743264647720714,-0.4662292041002416,0.02167798508223435,1
0.5245807965596517,0.031157389115211875,0.08864196141560872,0.009872403666232826,8,5,200,"{'max_depth': 8, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.49149365121975663,-0.4718124730752287,-0.4363577452878455,-0.466554623194277,0.022814115071757762,4
0.1347031593322754,0.0012639920714030708,0.04897085825602213,0.0024731725223434927,16,1,50,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.528107534246575,-0.4688481911087393,-0.4384455098934555,-0.4784670784162566,0.03723091813310442,27
0.28331534067789715,0.014171909781632075,0.057446797688802086,0.006904294543058919,16,1,100,"{'max_depth': 16, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.5181085616438365,-0.4752921712229919,-0.43929607197216775,-0.4775656016129987,0.03221519823898214,25
